state,x,y
Andhra Pradesh,-88.0,-146.0
Arunachal Pradesh,229.0,161.0
Assam,192.0,110.0
Bihar,52.0,91.0
Chhattisgarh,-26.0,-10.0
Goa,-175.0,-138.0
Gujarat,-209.0,43.0
Haryana,-127.0,170.0
Himachal Pradesh,-104.0,227.0
Jammu And Kashmir,-135.0,289.0
Jharkhand,50.0,44.0
Karnataka,-148.0,-151.0
Kerala,-128.0,-244.0
Madhya Pradesh,-117.0,31.0
Maharashtra,-162.0,-49.0
Manipur,227.0,80.0
Meghalaya,164.0,90.0
Mizoram,209.0,55.0
Nagaland,239.0,114.0
Odisha,37.0,-18.0
Punjab,-144.0,205.0
Rajasthan,-171.0,114.0
Sikkim,116.0,137.0
Tamil Nadu,-90.0,-232.0
Telangana,-76.0,-88.0
Tripura,186.0,57.0
Uttar Pradesh,-52.0,118.0
Uttarakhand,-75.0,192.0
West Bengal,101.0,36.0
